"id_chitatelya","inventarnyi_nomer"
"3663","03:0000020317"
"825","03:0000020317"
"12085","03:0000327711"
"3663","03:0000020317"
"825","03:0000020317"
"12085","03:0000327711"
"142372","04:0000056478"
"184295","05:0000174576"
"184450","05:0000075752"
"168311","01:0000984853"
"71964","02:0000773594"
"164003","05:0000066803"
"185076","02:0000205548"
"186079","05:0000130787"
"175431","05:0000115892"
"175707","01:0000245404"
"82104","03:0000502695"
"164675","08:0000237283"
"79999","02:0000077840"
"247412","05:0000039018"
"225185","05:0000188265"
"43611","02:0000840976"
"229698","06:0000114914"
"219779","05:0000066803"
"230732","04:0000298765"
"252234","Б05:00020730"
"87030","01:0000440663"
"48504","02:0000241956"
"216406","06:0000151778"
"230446","08:0000157555"
"227179","05:0000181057"
"50041","03:0000502695"
"304685","05:0000396855"
"291466","Б05:00013560"
"359374","09:0000068889"
"12023","03:0001825647"
"361708","07:0000298964"
"71964","02:0000773594"
"385782","09:0000068889"
"403482","07:0000471451"
"403599","07:0000270530"
"294840","06:0000114914"
"71964","02:0000773594"
"403973","09:0000240309"
"403971","09:0000240309"
"361708","07:0000298964"
"329099","07:0000228708"
"370195","05:0000936151"
"339673","09:0000384819"
"363258","09:0000381257"
"371810","09:0000325840"
"371810","09:0000325853"
"375204","09:0000380960"
"333939","Б09:00012630"
"333939","Б09:00012632"
"333424","Б09:00012633"
"397926","09:0000386425"
"408440","Б07:00015257"
"435819","09:0000387447"
"332549","Б09:00012631"
"124507","08:0000954902"
"336604","Б09:00012631"
"363769","09:0000289007"
"397926","09:0000386425"
"436570","09:0000296516"
"354100","Б09:00012633"
"354100","Б09:00012632"
"436508","09:0000294379"
"173208","Б09:00012316"
"173208","Б09:00012313"
"358685","Б09:00012630"
"358685","Б09:00012631"
"285673","08:0000027526"
"436826","09:0000362581"
"366223","06:0000883960"
"366223","06:0000883960"
"403904","09:0000392417"
"409294","09:0000229580"
"437294","Б07:00015829"
"388480","05:0000137433"
"347506","09:0000243774"
"164766","09:0000295051"
"418438","09:0000525720"
"379040","09:0000243774"
"332957","Б09:00012316"
"436666","06:0000114914"
"355675","Б09:00012631"
"355675","Б09:00012632"
"374092","Б09:00012630"
"374092","Б09:00012633"
"349631","Б09:00012632"
"349631","Б09:00012631"
"359451","09:0000290669"
"64333","Б05:00007539"
"197753","Б05:00007539"
"378056","Б05:00007539"
"178636","Б05:00007539"
"449153","09:0000364117"
"425164","09:0000310505"
"425164","09:0000310611"
"465578","09:0000443365"
"448006","09:0000331809"
"448011","09:0000331809"
"448018","09:0000331809"
"450408","09:0000331809"
"450418","09:0000331809"
"2740","09:0000327204"
"398625","09:0000357389"
"185929","04:0001006658"
"404045","02:0000408342"
"462214","09:0000298727"
"462209","09:0000298695"
"451148","09:0000447744"
"449985","09:0000297929"
"417209","06:0000875828"
"383116","09:0000576027"
"429163","09:0000573633"
"369985","09:0000329188"
"462432","08:0001138046"
"426396","09:0000339902"
"454761","09:0000309639"
"136480","08:0000940942"
"136480","08:0000944101"
"436617","09:0000332026"
"315201","07:0000536496"
"443823","09:0000310505"
"59338","02:0000107276"
"334820","07:0000818244"
"101952","04:0000100375"
"215054","05:0000456083"
"53398","02:0000840976"
"498552","02:0001436608"
"244806","08:0000928819"
"440132","05:0000941025"
"237315","06:0000108939"
"501600","09:0000793919"
"153108","08:0000928819"
"439187","09:0000434324"
"300064","07:0000107288"
"183387","03:0000206418"
"429165","09:0000590889"
"501183","09:0000310382"
"525551","09:0000288603"
"478879","03:0000546482"
"495987","09:0000310357"
"431198","07:0000837614"
"270917","05:0000066803"
"442734","09:0000621356"
"392628","09:0000592871"
"414753","09:0000327297"
"139960","08:0000500133"
"376314","09:0000330910"
"306441","05:0000927577"
"106272","04:0000102681"
"471985","08:0000327755"
"38623","02:0000093483"
"379262","09:0000349099"
"63153","03:0001857530"
"416055","06:0000879556"
"98766","04:0000082167"
"285998","06:0000853795"
"403828","06:0000862676"
"288910","06:0000853858"
"252411","06:0000862763"
"252411","06:0000862845"
"278326","06:0000863406"
"415738","05:0000043756"
"168940","05:0000927577"
"263725","03:0000484872"
"358812","09:0000330204"
"518835","09:0000362581"
"453039","09:0000359235"
"424495","Б07:00029540"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"346307","06:0001132404"
"540735","15:0000021829"
"430759","07:0000566887"
"281067","08:0000940991"
"270794","04:0001012097"
"405846","Б07:00015257"
"371751","09:0000378540"
"371912","09:0000378509"
"557164","09:0000588916"
"468549","09:0000720645"
"86778","01:0001855687"
"38623","02:0000093483"
"467655","19:0000004947"
"549280","Б07:00029540"
"539466","09:0000297385"
"333073","07:0001018436"
"1663","03:0000056453"
"11618","03:0000510440"
"14635","03:0000521306"
"14416","03:0000283856"
"1663","03:0000056453"
"11618","03:0000510440"
"14635","03:0000521306"
"14416","03:0000283856"
"182966","01:0000274736"
"5518","03:0000166904"
"184959","05:0000177238"
"144962","08:0000108847"
"25193","10:0000021196"
"13585","03:0001152664"
"83845","04:0000068953"
"25763","03:0000521306"
"187769","08:0000156543"
"248011","05:0000280458"
"249018","03:0001070078"
"92637","04:0000051342"
"214067","06:0000261490"
"231270","06:0000261490"
"60963","02:0000170087"
"197768","08:0000146930"
"4049","03:0000006064"
"233493","06:0000071751"
"73295","01:0000256195"
"175170","02:0000567741"
"278699","06:0000126044"
"86146","04:0000140002"
"123784","08:0000580848"
"343905","09:0000074794"
"285141","11:0000008479"
"259021","06:0000071751"
"355590","09:0000059669"
"356354","09:0000059669"
"343905","09:0000074794"
"360967","09:0000059669"
"298595","09:0000074794"
"110633","04:0000613126"
"379743","09:0000248185"
"398287","09:0000385003"
"435567","09:0000348081"
"435583","09:0000328624"
"333939","09:0000316144"
"374100","09:0000381579"
"202350","08:0000081204"
"335667","06:0000261490"
"379549","09:0000364284"
"381013","09:0000386607"
"375588","09:0000386781"
"423801","09:0000328624"
"332549","Б09:00012641"
"375920","07:0000229060"
"395585","09:0000326115"
"360433","09:0000329426"
"375583","09:0000387840"
"398625","09:0000361513"
"375658","09:0000074794"
"426439","09:0000244061"
"322086","Б06:00036643"
"328543","07:0000583722"
"436419","Б06:00036353"
"336604","Б09:00012641"
"436425","Б06:00036353"
"436432","Б06:00036353"
"436470","Б06:00036353"
"436478","Б06:00036353"
"436479","Б06:00036353"
"436483","Б06:00036353"
"436491","Б06:00036353"
"403204","09:0000391294"
"436496","Б06:00036353"
"436498","Б06:00036353"
"436503","Б06:00036353"
"436505","Б06:00036353"
"436746","09:0000391421"
"354100","Б09:00012378"
"354100","Б09:00012642"
"436449","09:0000297458"
"436395","09:0000297450"
"360410","09:0000372715"
"173208","Б09:00012306"
"349879","09:0000391764"
"358685","Б09:00012641"
"358685","09:0000316144"
"427012","09:0000322937"
"388036","09:0000300049"
"437345","09:0000328624"
"430955","09:0000298995"
"314964","07:0000676413"
"464405","09:0000324677"
"140716","02:0000170087"
"457731","07:0000133952"
"441033","09:0000326035"
"388016","06:0000868748"
"332957","Б09:00012306"
"382566","09:0000372715"
"355675","09:0000316144"
"374092","Б09:00012378"
"374092","Б09:00012642"
"374092","Б09:00012641"
"349631","09:0000316144"
"349631","Б09:00012641"
"388755","09:0000436593"
"388755","09:0000436610"
"379040","09:0000436663"
"379040","09:0000436736"
"446099","09:0000458714"
"176747","05:0000925065"
"364793","Б09:00013788"
"358695","07:0000520631"
"371810","09:0000290075"
"347414","09:0000306810"
"360484","Б07:00014739"
"380088","09:0000198865"
"462214","09:0000299015"
"344921","07:0000817519"
"354383","09:0000571188"
"365955","09:0000364284"
"179466","05:0000924513"
"471483","08:0001138377"
"300168","07:0000550069"
"416505","09:0000333034"
"374956","09:0000332517"
"359477","09:0000327961"
"476806","07:0000364104"
"425360","04:0001005058"
"497172","06:0000982603"
"103905","Б06:00046424"
"213177","03:0000663278"
"314206","07:0000388954"
"218789","05:0000177238"
"369176","07:0000898449"
"369176","07:0000898449"
"65220","01:0001855225"
"524906","10:0000326706"
"504190","09:0000700474"
"221664","Б06:00036719"
"525644","09:0000572527"
"507636","Б06:00038106"
"462103","05:0000017788"
"183833","05:0000925065"
"16396","03:0001856354"
"503977","09:0000352368"
"500222","09:0000435596"
"471155","09:0000794243"
"112622","01:0001964763"
"429163","09:0000571188"
"526538","09:0000572527"
"462649","01:0001855254"
"259091","10:0000003769"
"352562","09:0000329068"
"526760","18:0000020930"
"447038","09:0000298274"
"285998","06:0000853685"
"285998","06:0000853772"
"403828","06:0000853828"
"146618","05:0000926478"
"527198","09:0000572527"
"467366","09:0000098831"
"527162","09:0000572527"
"535577","Б07:00028381"
"201757","06:0000016838"
"383813","Б07:00029551"
"373544","09:0000309126"
"546113","21:0000006257"
"399438","09:0000572578"
"392038","09:0000041104"
"458652","09:0000358183"
"346307","06:0001132187"
"346307","06:0001132187"
"346307","06:0001132187"
"543437","21:0000004045"
"556419","09:0000367593"
"556390","09:0000365598"
"367051","09:0000502172"
"490057","Б09:00037618"
"429921","Б09:00042192"
"122921","08:0001298848"
"324626","04:0000613126"
"557004","09:0000891714"
"557011","09:0000891714"
"481918","06:0000860620"
"549158","09:0000294699"
"399848","06:0000838493"
"426797","09:0000461908"
"557457","09:0000297837"
"557434","09:0000891714"
"548533","03:0001856351"
"253","03:0000082376"
"4044","03:0000082376"
"6090","03:0000082376"
"3105","03:0000082376"
"11679","03:0000080415"
"9964","03:0000082376"
"2028","03:0000082376"
"14605","03:0000082376"
"4157","03:0000080415"
"253","03:0000082376"
"4044","03:0000082376"
"6090","03:0000082376"
"3105","03:0000082376"
"11679","03:0000080415"
"9964","03:0000082376"
"2028","03:0000082376"
"14605","03:0000082376"
"4157","03:0000080415"
"104295","02:0000650003"
"16120","03:0001313290"
"184552","08:0000221388"
"22690","10:0000031470"
"153435","08:0000217697"
"51038","01:0000757359"
"169461","03:0000475288"
"104359","02:0000301456"
"186453","01:0000371092"
"113325","02:0000085183"
"161039","04:0000095098"
"147539","02:0000271026"
"211933","05:0000082222"
"29141","03:0000129070"
"202678","Б05:00008737"
"231152","06:0000221828"
"91823","01:0000863897"
"276121","02:0001383530"
"61679","01:0000615671"
"258977","Б05:00005807"
"213289","06:0000075252"
"312343","07:0000287530"
"282894","05:0000056232"
"303491","07:0000065547"
"244871","08:0000065491"
"356366","09:0000082625"
"350902","07:0000114879"
"325966","Б05:00006218"
"203251","05:0000411191"
"175184","08:0000279878"
"54002","02:0000554223"
"146872","08:0000198534"
"371810","09:0000325847"
"333424","Б09:00011507"
"365623","03:0000126849"
"336028","Б09:00012323"
"129015","08:0000954017"
"402846","07:0000549344"
"363542","08:0000964279"
"341339","Б09:00011558"
"336343","Б09:00012353"
"436422","Б06:00036323"
"436432","Б06:00036323"
"278058","06:0000867337"
"305768","06:0000867411"
"436439","Б06:00036323"
"342181","Б09:00012353"
"436457","Б06:00036323"
"36655","09:0000368165"
"436462","Б06:00036323"
"436470","Б06:00036323"
"436478","Б06:00036323"
"436488","Б06:00036323"
"436491","Б06:00036323"
"436496","Б06:00036323"
"436500","Б06:00036323"
"436504","Б06:00036323"
"210535","06:0000017767"
"354100","Б09:00012643"
"325793","Б06:00036844"
"400082","09:0000337131"
"378374","09:0000328148"
"415628","Б09:00011558"
"437294","Б07:00015827"
"437403","07:0000444498"
"463890","09:0000307089"
"228112","06:0000849182"
"120362","01:0001855377"
"331876","03:0000129070"
"441033","09:0000326098"
"264583","06:0000911492"
"464734","09:0000355510"
"443776","09:0000526908"
"216584","06:0000075252"
"332957","Б09:00012323"
"374092","Б09:00012643"
"297005","06:0000936245"
"333281","Б09:00012353"
"449153","09:0000364672"
"218147","06:0000852876"
"172291","05:0000293180"
"465356","19:0000000284"
"465500","03:0000126849"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336153","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"336015","09:0000347897"
"402846","07:0000549344"
"246764","04:0001005977"
"355643","Б07:00015665"
"465864","05:0000262498"
"17451","03:0000576818"
"214418","06:0000075252"
"466120","07:0000444498"
"163856","Б05:00001376"
"417781","08:0000932408"
"345794","09:0000570265"
"234098","06:0000508525"
"374351","09:0000609428"
"441149","09:0000298065"
"443574","09:0000328515"
"497319","09:0000670296"
"177345","05:0000926660"
"441440","09:0000509946"
"497557","07:0000553485"
"366788","06:0000877158"
"136480","08:0000943079"
"443093","09:0000332355"
"459224","09:0000329713"
"459224","09:0000329291"
"200881","05:0000926800"
"498051","07:0000377259"
"253736","06:0000884981"
"126250","08:0000928452"
"390563","06:0000294980"
"367186","07:0000523276"
"230332","08:0000474387"
"385451","09:0000036719"
"525274","09:0000434161"
"439334","Б09:00011558"
"525568","01:0001856874"
"64112","02:0001189185"
"389372","09:0000338600"
"403890","09:0000318402"
"501183","09:0000686749"
"507636","Б06:00038093"
"507636","Б06:00038102"
"255693","Б05:00006071"
"525926","06:0000402519"
"169346","05:0000989046"
"498888","06:0000130986"
"359681","09:0000318402"
"526371","09:0000036719"
"414753","09:0000526908"
"364618","09:0000307119"
"409085","09:0000445854"
"365957","09:0000643691"
"417672","06:0000857370"
"272352","05:0000212910"
"285998","06:0000853779"
"285998","06:0000853785"
"285998","06:0000853791"
"246763","06:0000863397"
"246763","06:0000853639"
"414049","07:0000287530"
"349572","09:0000564385"
"288910","06:0000853862"
"252411","06:0000862747"
"252411","06:0000862820"
"243658","06:0000936245"
"194694","05:0000922776"
"362606","09:0000325676"
"235341","08:0000927733"
"518835","09:0000362529"
"556186","09:0000534039"
"556096","09:0000339768"
"346307","06:0001132258"
"346307","06:0001132258"
"346307","06:0001132258"
"383134","09:0000444344"
"556426","09:0000367570"
"556390","09:0000367600"
"398325","05:0000926789"
"51740","02:0001384980"
"272352","05:0000212910"
"504318","08:0001143570"
"486915","Б09:00037307"
"486915","Б09:00037281"
"349712","09:0000383957"
"351644","09:0000299414"
"371810","09:0000324971"
"1686","03:0001841772"
"538752","09:0000323420"
"549158","09:0000307119"
"350395","09:0000572582"
"430111","09:0000737817"
"509837","06:0000258265"
"555246","09:0000884631"
"244011","05:0000310355"
"395385","09:0000660816"
"175846","05:0000566115"
"222735","06:0000921388"
"143198","01:0000119167"
"121915","02:0001248884"
"119706","01:0000369195"
"21404","03:0001049105"
"184354","08:0000128142"
"184957","05:0000177380"
"185299","01:0000926347"
"163157","10:0000015766"
"88618","02:0000238324"
"185959","01:0000105125"
"186523","08:0000052993"
"108150","03:0000910016"
"187520","08:0000322720"
"98446","01:0000266468"
"125925","08:0000070453"
"70569","02:0000443128"
"183901","Б05:00012838"
"183901","Б05:00002695"
"152026","Б05:00012838"
"249513","Б05:00012838"
"198648","Б05:00012838"
"62417","01:0001196809"
"249777","Б05:00012838"
"249313","06:0000085579"
"185868","05:0000479045"
"184906","Б05:00002695"
"134774","03:0001731019"
"203075","Б05:00012838"
"164986","Б05:00012838"
"174983","Б05:00012838"
"196871","Б05:00012838"
"169771","Б05:00002695"
"218163","Б05:00002695"
"168672","Б05:00002695"
"67618","02:0000383344"
"178417","Б05:00002695"
"252373","Б05:00002695"
"166546","Б05:00002695"
"48025","02:0001131943"
"153492","01:0001072742"
"218300","05:0000177380"
"71555","01:0000162352"
"48584","02:0000072212"
"168511","08:0000286315"
"361961","07:0000303028"
"88763","04:0000128087"
"402074","07:0000303028"
"79528","04:0000058866"
"21444","03:0000627563"
"393385","09:0000169073"
"381042","09:0000155976"
"224312","06:0000040398"
"286859","06:0000880274"
"383134","09:0000313998"
"333424","Б09:00012635"
"51437","02:0001248884"
"291351","11:0000095940"
"381013","09:0000386736"
"221639","06:0000881032"
"286847","06:0000881032"
"367042","06:0000881032"
"222926","06:0000085579"
"376249","07:0000488292"
"24526","10:0000024464"
"373204","09:0000301807"
"322086","Б06:00036641"
"436746","09:0000391432"
"436570","09:0000294221"
"436552","09:0000294402"
"354100","Б09:00012635"
"57869","02:0001215445"
"173208","Б09:00012312"
"437294","Б07:00015828"
"349542","09:0000394559"
"244054","Б05:00002695"
"451937","09:0000471746"
"319769","07:0000677692"
"407136","Б07:00019757"
"464459","08:0000929822"
"236684","01:0001856155"
"441033","09:0000329045"
"455422","09:0000469693"
"332957","Б09:00012312"
"355675","Б09:00012635"
"355675","Б09:00012635"
"374092","Б09:00012635"
"349631","Б09:00012635"
"413788","09:0000363583"
"447444","09:0000363583"
"42612","09:0000416365"
"427999","09:0000416365"
"465708","09:0000324382"
"338811","07:0000288428"
"418609","09:0000527305"
"254467","06:0000874911"
"352282","09:0000325431"
"333627","09:0000301807"
"355643","Б07:00015670"
"260027","06:0000870381"
"332278","Б07:00019757"
"373748","09:0000290252"
"113705","07:0000004910"
"344260","09:0000292063"
"143539","04:0001006654"
"462219","09:0000493512"
"360373","09:0000298116"
"397643","09:0000671014"
"40062","02:0001347978"
"420735","09:0000153698"
"324926","07:0000563798"
"496077","09:0000376739"
"470179","09:0000441260"
"332879","07:0000095372"
"497900","09:0000339674"
"365554","09:0000329781"
"121007","08:0000665850"
"372918","Б09:00012071"
"23656","06:0000888679"
"299855","05:0000820385"
"299855","05:0000820385"
"450609","07:0000564737"
"320175","07:0000314922"
"366154","09:0000043857"
"463150","06:0000857834"
"512041","08:0000442838"
"456326","06:0000098544"
"488818","07:0000855550"
"80865","01:0001867404"
"430106","Б07:00029534"
"458227","09:0000743657"
"525821","07:0000153697"
"525525","09:0000544991"
"89376","04:0001025871"
"503977","09:0000352297"
"424380","09:0000368544"
"221441","01:0000184325"
"80958","06:0000145858"
"101566","04:0001036991"
"372290","09:0000743657"
"71352","01:0000109117"
"352562","09:0000326170"
"403828","06:0000853809"
"403828","06:0000862668"
"278326","06:0000862909"
"417790","08:0001185126"
"417790","08:0001186414"
"113335","08:0000415784"
"300202","06:0000868723"
"362606","09:0000325431"
"413919","Б09:00012071"
"328641","07:0000618139"
"395063","Б07:00020286"
"82600","01:0001858971"
"556419","09:0000367753"
"556419","09:0000367584"
"486915","Б09:00037282"
"439284","04:0000128087"
"499094","09:0000367447"
"46748","02:0000071500"
"557086","09:0000639928"
"455155","09:0000693429"
"845","03:0000062464"
"1811","03:0000062464"
"6070","03:0000062464"
"6077","03:0000062464"
"897","03:0000086743"
"897","03:0000086743"
"15669","03:0000062464"
"6382","03:0000565771"
"18239","03:0000468234"
"845","03:0000062464"
"1811","03:0000062464"
"6070","03:0000062464"
"6077","03:0000062464"
"897","03:0000086743"
"897","03:0000086743"
"15669","03:0000062464"
"6382","03:0000565771"
"18239","03:0000468234"
"113443","01:0000164411"
"52864","01:0000480491"
"52146","02:0000529270"
"80204","01:0000419174"
"120314","08:0000267254"
"219000","06:0000251155"
"170183","Б05:00018310"
"248299","08:0000325603"
"152026","Б05:00007414"
"173540","05:0000052733"
"60948","02:0000435329"
"249513","Б05:00007414"
"197833","05:0000085099"
"198648","Б05:00007414"
"249777","Б05:00007414"
"250743","06:0000240207"
"203075","Б05:00007414"
"164986","Б05:00007414"
"174983","Б05:00007414"
"251178","Б05:00007414"
"196871","Б05:00007414"
"167068","Б05:00007414"
"251397","03:0001314948"
"211130","Б05:00007414"
"65445","03:0000062464"
"217150","06:0000067943"
"357548","09:0000066868"
"250706","05:0000249163"
"362223","Б05:00001990"
"325966","Б05:00006224"
"401670","09:0000122107"
"332403","09:0000024982"
"324226","07:0000001858"
"382383","06:0000880182"
"435457","09:0000366485"
"435563","09:0000321670"
"434928","09:0000174201"
"435974","09:0000373478"
"333627","09:0000353836"
"424809","08:0000022512"
"417562","Б09:00012074"
"436418","09:0000390271"
"336343","Б09:00011494"
"436414","Б06:00036338"
"436422","Б06:00036338"
"436427","Б06:00036338"
"436583","07:0000204036"
"436439","Б06:00036338"
"436447","Б06:00036338"
"342181","Б09:00011494"
"436462","Б06:00036338"
"436478","Б06:00036338"
"436494","Б06:00036338"
"436603","09:0000297556"
"370428","09:0000174201"
"422575","09:0000365691"
"63791","02:0001430532"
"165435","Б05:00007414"
"464421","06:0000944672"
"242633","08:0000205969"
"171791","08:0000105007"
"464843","09:0000329850"
"464734","09:0000362469"
"465060","09:0000432417"
"384068","07:0000567807"
"337606","07:0000228442"
"349950","09:0000249407"
"333281","Б09:00011494"
"413788","09:0000363542"
"447444","09:0000363542"
"279329","06:0000840621"
"446009","09:0000365691"
"373012","09:0000434168"
"1205","03:0000086743"
"281220","06:0000859723"
"448006","09:0000303913"
"448011","09:0000303913"
"448018","09:0000303913"
"450408","09:0000303913"
"450418","09:0000303913"
"465493","09:0000378566"
"355643","Б07:00015669"
"355643","Б07:00015664"
"382034","05:0000085099"
"407043","09:0000301842"
"365528","09:0000174201"
"417781","08:0000944098"
"353741","09:0000572572"
"392628","09:0000616152"
"449756","09:0000298070"
"355914","09:0000609408"
"424240","09:0000298138"
"367650","09:0000298052"
"476951","09:0000321706"
"456765","09:0000297556"
"223180","Б06:00050279"
"136989","04:0000031270"
"395585","09:0000294297"
"447010","09:0000340130"
"436395","09:0000329793"
"296107","05:0000922772"
"498311","01:0001869494"
"305149","07:0000614857"
"141736","01:0000372601"
"153108","08:0000944098"
"525031","Б05:00026332"
"439165","09:0000581497"
"365509","09:0000570288"
"504184","09:0000699555"
"329405","07:0000069768"
"525264","09:0000616152"
"138996","04:0000214361"
"437140","07:0000537197"
"430106","Б07:00029536"
"430106","Б07:00029537"
"525601","09:0000570294"
"507636","Б06:00038097"
"103391","01:0001867650"
"200691","05:0000956782"
"518683","19:0000020715"
"526515","09:0000570294"
"526670","08:0000648510"
"441637","09:0000421251"
"454370","09:0000363542"
"379262","09:0000349965"
"526983","09:0000328701"
"526984","09:0000328701"
"322192","07:0000837625"
"246763","06:0000853651"
"288910","06:0000862664"
"252411","06:0000862807"
"278326","06:0000862894"
"168445","05:0000922571"
"553261","06:0000836628"
"413919","Б09:00012074"
"162545","Б05:00007414"
"398495","09:0000174201"
"395063","Б07:00020344"
"518835","09:0000367277"
"450595","09:0000512504"
"555888","09:0000434168"
"346307","06:0001132420"
"346307","06:0001132420"
"346307","06:0001132420"
"346307","06:0001132420"
"398202","06:0000864665"
"370930","09:0000570232"
"134741","08:0000944098"
"520008","09:0000732686"
"516279","Б09:00037279"
"369906","09:0000107805"
"497484","02:0000529270"
"421968","09:0000359952"
"499094","09:0000367277"
"371810","09:0000325036"
"65228","Б01:00078373"
"357059","09:0000174201"
"512384","10:0000053592"
"395385","09:0000660812"
"539017","03:0001856323"
"152690","08:0000944098"
"244","03:0000005393"
"5528","Б03:00001323"
"875","03:0000062447"
"911","03:0000014259"
"244","03:0000005393"
"5528","Б03:00001323"
"875","03:0000062447"
"911","03:0000014259"
"93852","04:0000330095"
"184105","02:0000231908"
"13842","03:0000408502"
"94928","04:0000588969"
"184910","02:0000191156"
"185650","05:0000040267"
"186717","03:0000739479"
"80853","02:0000786765"
"82496","01:0000359197"
"211092","05:0000446350"
"219529","06:0000037984"
"19800","03:0000308480"
"242036","03:0000239975"
"244148","06:0000146921"
"191727","01:0000029674"
"161038","02:0000020362"
"202678","05:0000160313"
"202678","05:0000160313"
"60613","03:0000795457"
"302693","06:0000120581"
"68419","01:0000029674"
"214067","06:0000225741"
"189712","Б05:00011461"
"304214","06:0000345675"
"132529","08:0000615270"
"250555","06:0000122569"
"173434","05:0000762249"
"313600","03:0000769681"
"116189","08:0000047126"
"360978","09:0000082653"
"344280","09:0000082653"
"344260","09:0000082653"
"5464","03:0000739479"
"173416","05:0000160313"
"229056","06:0000627196"
"303938","06:0000122569"
"382670","07:0000168829"
"398843","06:0000880134"
"415149","07:0000543792"
"360620","09:0000354884"
"282489","11:0000095911"
"375590","09:0000386245"
"292532","06:0000857222"
"435938","09:0000387239"
"405140","09:0000351266"
"398087","09:0000334146"
"435577","09:0000298301"
"421643","09:0000298301"
"436324","09:0000387239"
"385266","06:0000880134"
"398843","06:0000880134"
"419528","09:0000319501"
"436603","09:0000298007"
"354100","Б09:00012387"
"436449","09:0000297519"
"255693","Б05:00002129"
"119753","08:0000913009"
"428333","09:0000389686"
"428405","09:0000389686"
"346046","06:0000122569"
"351721","09:0000394240"
"359667","09:0000509878"
"456756","06:0000237719"
"464928","09:0000300238"
"457968","09:0000329118"
"332957","Б09:00012334"
"464361","09:0000290941"
"465013","09:0000351266"
"349631","Б09:00012387"
"424933","09:0000363274"
"424933","09:0000363190"
"379897","09:0000528193"
"449153","09:0000364671"
"377192","09:0000468860"
"38443","02:0001412930"
"303933","06:0000122569"
"465772","07:0000683729"
"352282","09:0000325501"
"450484","09:0000305081"
"450413","09:0000305081"
"450429","09:0000305081"
"450449","09:0000305081"
"419528","09:0000319501"
"466020","09:0000354884"
"436697","06:0001022778"
"354383","09:0000573304"
"449825","09:0000297959"
"449985","09:0000297954"
"442588","09:0000322019"
"222650","Б06:00045330"
"497237","07:0000168829"
"130359","08:0000052476"
"432683","08:0000181214"
"248076","03:0001718936"
"82382","04:0001005676"
"300168","07:0000550046"
"436617","09:0000330917"
"176265","05:0000923174"
"112472","08:0000646876"
"339084","07:0000179322"
"2581","03:0001842669"
"341324","09:0000572590"
"348155","09:0000572590"
"331134","09:0000572590"
"406683","09:0000572590"
